template({context: `{content} - T {toxic_rate}, IT {insult_rate}, TH {threat_rate}, RC {racist_rate}, SEX {sexual_rate}`});
tidak mencoba berbohong - T 10, IT 2, TH 0, RC 7, SEX 4
ah yes oh yes - T 30, IT 14, TH 0, RC 12, SEX 35
sial - T 30, IT 14, TH 0, RC 12, SEX 35
ngaceng aku - T 31, IT 2, TH 0, RC 0, SEX 99
apa elo tega - T 19, IT 10, TH 0, RC 9, SEX 23
ngakak kenceng - T 30, IT 14, TH 0, RC 12, SEX 35
cringe - T 30, IT 14, TH 0, RC 12, SEX 35
afakh - T 30, IT 14, TH 0, RC 12, SEX 35
aku cinta anda - T 3, IT 1, TH 0, RC 3, SEX 1
furry - T 30, IT 14, TH 0, RC 12, SEX 35
uncensored - T 30, IT 14, TH 0, RC 12, SEX 35
jangan kau langgar titah raja - T 53, IT 98, TH 0, RC 8, SEX 2
tompes jeh beeng bengka - T 30, IT 14, TH 0, RC 12, SEX 35
kontol niger vs memek cyna - T 100, IT 75, TH 2, RC 0, SEX 100
bersetubuh - T 5, IT 1, TH 0, RC 4, SEX 31
njir coek,ini kurir sicepat kejar target apa gimana jam segini paket aku dateng - T 0, IT 0, TH 0, RC 0, SEX 0
, kato telah mencabut status afk mu! - T 24, IT 8, TH 0, RC 1, SEX 13
senggama - T 30, IT 14, TH 0, RC 12, SEX 35
namanya juga si cepat - T 0, IT 0, TH 0, RC 0, SEX 0
real sicepat - T 30, IT 14, TH 0, RC 12, SEX 35
aku di sini untuk menjengukmu - T 0, IT 0, TH 0, RC 0, SEX 0
kalo si lambat besok/lusa sampe - T 2, IT 0, TH 0, RC 4, SEX 4
njir bener juga ya - T 0, IT 0, TH 0, RC 0, SEX 0
makanya pake jn - T 67, IT 19, TH 0, RC 19, SEX 27
burungmu besar - T 17, IT 1, TH 0, RC 2, SEX 11
biar nyampenya besok - T 13, IT 4, TH 0, RC 2, SEX 12
kue memek berasal dari aceh - T 99, IT 85, TH 0, RC 0, SEX 99
jn af tuch - T 30, IT 14, TH 0, RC 12, SEX 35
ancrit orng pada cepat ini mau lambat - T 1, IT 0, TH 0, RC 0, SEX 1
belum ada uangnya kah - T 0, IT 0, TH 0, RC 0, SEX 0
jnt juga sekarang mayan kurirnya gak males kek dulu - T 6, IT 76, TH 0, RC 0, SEX 1
apakah aku dibutuhkan di keluarga ini? seperti nya tidak 😭 - T 0, IT 0, TH 0, RC 0, SEX 0
aku ngambil jnt biar dapet gratis ongkir - T 2, IT 0, TH 0, RC 1, SEX 0
dih - T 30, IT 14, TH 0, RC 12, SEX 35
buka sedikit - T 18, IT 8, TH 0, RC 9, SEX 20
mao nya yg free mulu wkwowko - T 1, IT 8, TH 0, RC 5, SEX 16
pedo amat - T 2, IT 70, TH 0, RC 0, SEX 99
tol laut madura jawa - T 49, IT 39, TH 0, RC 69, SEX 7
 bang anuin ane mao ga - T 0, IT 1, TH 1, RC 2, SEX 0
siapa yang gamau gratis - T 5, IT 1, TH 0, RC 1, SEX 16
wow ga - T 0, IT 17, TH 0, RC 3, SEX 0
jawa barat - T 49, IT 39, TH 0, RC 69, SEX 7
gunakan disckon dri pada gak kepake mubazir - T 2, IT 2, TH 0, RC 1, SEX 3
kirim aku ke valhala dengan pedangmu - T 4, IT 1, TH 0, RC 1, SEX 0
alhamdulillah - T 4, IT 32, TH 0, RC 7, SEX 5
diskcon - T 30, IT 14, TH 0, RC 12, SEX 35
ga apa - T 0, IT 8, TH 0, RC 1, SEX 1
orang jawa - T 92, IT 4, TH 0, RC 60, SEX 3
nitro flish - T 30, IT 14, TH 0, RC 12, SEX 35
ga 20k pulsa telkomsel - T 3, IT 60, TH 0, RC 8, SEX 3
sayang sayang ga ke pake - T 0, IT 0, TH 0, RC 0, SEX 0
muhammad abdul somad - T 30, IT 14, TH 0, RC 12, SEX 35
brp jam vro - T 16, IT 9, TH 0, RC 9, SEX 15
1 winner? - T 60, IT 36, TH 0, RC 24, SEX 58
nasi kucing - T 0, IT 0, TH 0, RC 0, SEX 4
1 winner 1jam - T 60, IT 36, TH 0, RC 24, SEX 58
sampang banjir pole - T 30, IT 14, TH 0, RC 12, SEX 35
mo dibikin bersyarat apa gausah - T 61, IT 0, TH 0, RC 0, SEX 52
persantuyan duniawi - T 30, IT 14, TH 0, RC 12, SEX 35
siapa disini yg kartunya ngelag terus jadi pengen mukulin  furry ☝️ - T 96, IT 0, TH 0, RC 4, SEX 84
ustadz ray vs pastor ray martin - T 6, IT 2, TH 0, RC 3, SEX 7
maksiat - T 30, IT 14, TH 0, RC 12, SEX 35
gausah bang  - T 19, IT 0, TH 0, RC 0, SEX 2
bukan ane - T 1, IT 0, TH 0, RC 30, SEX 1
sud mw pukul furry - T 1, IT 2, TH 0, RC 7, SEX 0
makan yuk - T 3, IT 0, TH 0, RC 4, SEX 0
mending pukul pedo - T 0, IT 4, TH 0, RC 0, SEX 94
bagi yg msh mempunyai kekurangan nilai ketrampilan &/ pengetahuan mk nilai e rapornya akan kosong shg siswa hrs menghub guru mapel ybs utk menyelesaikn kewajibannya. - T 3, IT 1, TH 0, RC 0, SEX 1
ngeselin aja liat furry bot commander - T 0, IT 1, TH 0, RC 3, SEX 0
clurit disawah - T 30, IT 14, TH 0, RC 12, SEX 35
oh kalo yang itu sikat aja - T 0, IT 2, TH 0, RC 8, SEX 0
abngsat - T 30, IT 14, TH 0, RC 12, SEX 35
om vtuber - T 10, IT 4, TH 0, RC 9, SEX 22
:hadee - T 30, IT 14, TH 0, RC 12, SEX 35
lotnok kemem - T 30, IT 14, TH 0, RC 12, SEX 35
jd bs terjadi nilai rapor seorg siswa bolong2 bahkn kl anaknya super ndableg mk nilainya kosong semua 🥴 - T 4, IT 17, TH 0, RC 2, SEX 2
kpop - T 30, IT 14, TH 0, RC 12, SEX 35
lisa blackpink - T 47, IT 66, TH 4, RC 22, SEX 3
nancy wangi - T 0, IT 0, TH 0, RC 1, SEX 1
up aneme smartfren enjoyers - T 30, IT 14, TH 0, RC 12, SEX 35
tt jihyo - T 30, IT 14, TH 0, RC 12, SEX 35
habib riziq - T 30, IT 14, TH 0, RC 12, SEX 35
smartbrot gang - T 30, IT 14, TH 0, RC 12, SEX 35
nanti malem ke rumahku - T 3, IT 1, TH 0, RC 0, SEX 0
bener - T 1, IT 1, TH 0, RC 2, SEX 1
jokowi - T 0, IT 2, TH 1, RC 2, SEX 0
kartu anjing kalo fup - T 37, IT 5, TH 0, RC 15, SEX 61
paha ayam mcd - T 9, IT 2, TH 0, RC 6, SEX 3
sayang sayang ga kepake - T 0, IT 5, TH 0, RC 1, SEX 0
untung ane byu - T 14, IT 5, TH 0, RC 11, SEX 35
bonek - T 30, IT 14, TH 0, RC 12, SEX 35
jadi bisa ikut  - T 98, IT 0, TH 0, RC 39, SEX 20
anti nsfw anjing - T 36, IT 7, TH 0, RC 8, SEX 26
demot aj 👍  - T 29, IT 4, TH 4, RC 12, SEX 3
lain kali kalo ga kepakenya smarfren over ke ane - T 0, IT 4, TH 0, RC 1, SEX 0
bagi cp - T 4, IT 3, TH 0, RC 4, SEX 6
akhirnya bangga pake telkomsel - T 6, IT 3, TH 0, RC 3, SEX 30
welcome back , i removed your afk - T 23, IT 10, TH 0, RC 7, SEX 26
eren - T 30, IT 14, TH 0, RC 12, SEX 35
walau sebenernya tetep anjing - T 94, IT 17, TH 0, RC 33, SEX 64
fup gak ngotax - T 3, IT 12, TH 0, RC 2, SEX 5
byu juga dri telkom - T 9, IT 16, TH 0, RC 2, SEX 20
ingfo cp - T 30, IT 14, TH 0, RC 12, SEX 35
10kbps hamdeh - T 30, IT 14, TH 0, RC 12, SEX 35
bener - T 1, IT 1, TH 0, RC 2, SEX 1
ngeload gif aja g bisa - T 1, IT 8, TH 0, RC 6, SEX 0
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
discord pun lama buat buka - T 10, IT 11, TH 0, RC 0, SEX 0
alhamdulillah ga tsel - T 8, IT 96, TH 25, RC 10, SEX 0
bener - T 1, IT 1, TH 0, RC 2, SEX 1
tapi masih respek karena ada unlimited - T 5, IT 0, TH 0, RC 6, SEX 1
meme komik - T 9, IT 4, TH 0, RC 4, SEX 7
kato cantik sekali, aku jadi ingin mencium dan memeluknya lalu mengajaknya tidur bersama di kamarku - T 0, IT 0, TH 0, RC 0, SEX 0
menang ga sebelah eh dapetnya pulsa - T 0, IT 21, TH 0, RC 1, SEX 0
kirain dana - T 9, IT 5, TH 0, RC 6, SEX 8
ehh - T 30, IT 14, TH 0, RC 12, SEX 35
gaul kato - T 15, IT 7, TH 0, RC 7, SEX 10
wangshaff - T 30, IT 14, TH 0, RC 12, SEX 35
kece kato - T 15, IT 7, TH 0, RC 7, SEX 10
false kece - T 30, IT 14, TH 0, RC 12, SEX 35
waksaf - T 30, IT 14, TH 0, RC 12, SEX 35
kalo ada kata kato pasti 0%#cmiiw - T 3, IT 0, TH 0, RC 2, SEX 3
#saveruok - T 30, IT 14, TH 0, RC 12, SEX 35
viral - T 6, IT 0, TH 3, RC 0, SEX 2
#iamsosad - T 30, IT 14, TH 0, RC 12, SEX 35
k!afk wake me up when menten kato kelar - T 1, IT 1, TH 1, RC 3, SEX 0
lessonce on quarantine#2211 telah afk! alasan: wake me up when menten kato kelar - T 1, IT 2, TH 1, RC 1, SEX 0
kelar tanggal 1 - T 52, IT 24, TH 0, RC 19, SEX 39
 udah kelar bg - T 21, IT 2, TH 8, RC 13, SEX 4
, lessonce on quarantine#2211 saat ini sedang afk - 15 seconds agoalasan:wake me up when menten kato kelar - T 1, IT 1, TH 1, RC 0, SEX 0
valid kh - T 3, IT 3, TH 0, RC 4, SEX 7
, kato telah mencabut status afk mu! - T 24, IT 8, TH 0, RC 1, SEX 13
mangsut af - T 1, IT 1, TH 0, RC 2, SEX 1
itu yg di kwd akun raider kah - T 0, IT 0, TH 0, RC 0, SEX 0
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
masuk sini td soalnya - T 0, IT 0, TH 0, RC 0, SEX 0
ingfokan - T 30, IT 14, TH 0, RC 12, SEX 35
yang mana - T 0, IT 0, TH 0, RC 1, SEX 0
gtw bg - T 30, IT 14, TH 0, RC 12, SEX 35
isakkkkk - T 30, IT 14, TH 0, RC 12, SEX 35
belum ngecek fp skrinsot discord lucu - T 0, IT 0, TH 0, RC 0, SEX 0
akun af tuh bang - T 0, IT 0, TH 0, RC 0, SEX 0
syp dsini player meme? - T 30, IT 14, TH 0, RC 12, SEX 35
ada di  soalnya - T 0, IT 0, TH 0, RC 0, SEX 0
ancrit - T 30, IT 14, TH 0, RC 12, SEX 35
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
heart heart - T 30, IT 14, TH 0, RC 12, SEX 35
kato, anuu... emmm... a-akuu, boleh ngga k-kalo... anuu... lihat itu... l-lihat.. mmm celana dalammu? - T 100, IT 76, TH 2, RC 11, SEX 94
kek kenal nih isak - T 92, IT 26, TH 1, RC 0, SEX 2
masih staff disana - T 94, IT 4, TH 0, RC 9, SEX 39
siapkan pasukan anti raider - T 36, IT 7, TH 0, RC 8, SEX 26
 nih ada isak juga - T 3, IT 0, TH 4, RC 0, SEX 0
celanaku isine banyu - T 30, IT 14, TH 0, RC 12, SEX 35
isak staff ig - T 89, IT 2, TH 0, RC 6, SEX 26
itu isakkk - T 9, IT 15, TH 0, RC 19, SEX 2
yahahah - T 30, IT 14, TH 0, RC 12, SEX 35
ini isaak - T 37, IT 21, TH 0, RC 3, SEX 7
beda - T 21, IT 9, TH 0, RC 6, SEX 21
isak bukanya staff ig? - T 89, IT 2, TH 0, RC 6, SEX 26
isak akbar kh - T 3, IT 3, TH 0, RC 4, SEX 7
beda orang - T 86, IT 1, TH 0, RC 7, SEX 13
banyak amat nama isak - T 3, IT 24, TH 0, RC 0, SEX 1
lihat dada kato - T 86, IT 23, TH 0, RC 4, SEX 35
untung nama ane ga pasaran - T 0, IT 2, TH 0, RC 2, SEX 2
kato ingin kucipok - T 0, IT 0, TH 0, RC 0, SEX 2
coba reveal - T 23, IT 11, TH 0, RC 11, SEX 14
kato menjual diri - T 29, IT 15, TH 0, RC 27, SEX 13
k.poll  reveal nama aslinya - T 1, IT 0, TH 0, RC 2, SEX 3
aku mau menyewa kato besok malam - T 0, IT 0, TH 0, RC 0, SEX 0
yooo - T 30, IT 14, TH 0, RC 12, SEX 35
mengewe kato adalah jalan ninjaku - T 47, IT 46, TH 0, RC 3, SEX 2
hamdeh - T 30, IT 14, TH 0, RC 12, SEX 35
kelamin - T 30, IT 14, TH 0, RC 12, SEX 35
welcome back , i removed your afk - T 23, IT 10, TH 0, RC 7, SEX 26
suripto paling nama aslinya - T 1, IT 0, TH 0, RC 1, SEX 20
kalo gak ujang - T 5, IT 4, TH 0, RC 3, SEX 13
njir - T 0, IT 0, TH 0, RC 1, SEX 1
ato udin - T 8, IT 8, TH 0, RC 8, SEX 10
pasaran ujang atu mah - T 68, IT 31, TH 0, RC 2, SEX 55
asep bisa jadi - T 96, IT 2, TH 0, RC 36, SEX 72
nah udin apa lagi - T 1, IT 0, TH 0, RC 0, SEX 4
ujang karbu - T 30, IT 14, TH 0, RC 12, SEX 35
asep ijeksi - T 30, IT 14, TH 0, RC 12, SEX 35
buset karbu - T 30, IT 14, TH 0, RC 12, SEX 35
utuh - T 30, IT 14, TH 0, RC 12, SEX 35
di kata motor - T 9, IT 1, TH 0, RC 1, SEX 8
awokwkwkwkwkwow - T 30, IT 14, TH 0, RC 12, SEX 35
naha kudu ujang - T 30, IT 14, TH 0, RC 12, SEX 35
yanto - T 30, IT 14, TH 0, RC 12, SEX 35
pan aing mah nebak hungkul - T 68, IT 31, TH 0, RC 2, SEX 55
ari ke si ujang ker dahar - T 2, IT 0, TH 0, RC 0, SEX 1
asep - T 30, IT 14, TH 0, RC 12, SEX 35
kan aku nebak doang - T 3, IT 4, TH 0, RC 2, SEX 4
malam bang - T 0, IT 0, TH 0, RC 0, SEX 0
untung nama aku ga pasaran - T 0, IT 0, TH 0, RC 1, SEX 0
malam - T 9, IT 6, TH 0, RC 5, SEX 3
malam juga - T 2, IT 7, TH 0, RC 1, SEX 1
si ujang karbu mah ker ngaloco wayah kieumah - T 8, IT 2, TH 0, RC 1, SEX 3
malam agus - T 9, IT 6, TH 0, RC 5, SEX 3
malamm - T 30, IT 14, TH 0, RC 12, SEX 35
malam - T 9, IT 6, TH 0, RC 5, SEX 3
isakkkkbukan isaak - T 30, IT 14, TH 0, RC 12, SEX 35
astaghfirullah jang - T 30, IT 14, TH 0, RC 12, SEX 35
malam - T 9, IT 6, TH 0, RC 5, SEX 3
udin - T 30, IT 14, TH 0, RC 12, SEX 35
malam - T 9, IT 6, TH 0, RC 5, SEX 3
malam - T 9, IT 6, TH 0, RC 5, SEX 3
malam - T 9, IT 6, TH 0, RC 5, SEX 3
fix nama dia ujang - T 0, IT 0, TH 0, RC 0, SEX 4
njirr rame - T 17, IT 7, TH 0, RC 14, SEX 13
riski - T 30, IT 14, TH 0, RC 12, SEX 35
:valo :vang :varry - T 30, IT 14, TH 0, RC 12, SEX 35
njir - T 0, IT 0, TH 0, RC 1, SEX 1
inem - T 30, IT 14, TH 0, RC 12, SEX 35
di memgor ada apis juga - T 0, IT 0, TH 0, RC 0, SEX 0
riska - T 30, IT 14, TH 0, RC 12, SEX 35
sintia - T 30, IT 14, TH 0, RC 12, SEX 35
aca - T 30, IT 14, TH 0, RC 12, SEX 35
ijul - T 30, IT 14, TH 0, RC 12, SEX 35
ijul ga pasaran - T 1, IT 36, TH 0, RC 7, SEX 1
temen aku ada ijul - T 0, IT 0, TH 0, RC 0, SEX 0
bangkeeee - T 30, IT 14, TH 0, RC 12, SEX 35
ga pasaran apaan - T 1, IT 29, TH 0, RC 2, SEX 11
lah tetangga ane nama ijul kang sayur - T 0, IT 0, TH 0, RC 0, SEX 3
di kebun binatang banyak - T 13, IT 4, TH 0, RC 2, SEX 2
ijul nama yg cringe - T 2, IT 1, TH 0, RC 2, SEX 22
pptttttff - T 30, IT 14, TH 0, RC 12, SEX 35
hadir - T 30, IT 14, TH 0, RC 12, SEX 35
kece - T 30, IT 14, TH 0, RC 12, SEX 35
ujang karbu aduin sama feri bore up - T 4, IT 3, TH 0, RC 2, SEX 2
tetangga ane punya monyet - T 0, IT 2, TH 0, RC 3, SEX 0
namanya ijul - T 11, IT 4, TH 0, RC 7, SEX 3
fix - T 30, IT 14, TH 0, RC 12, SEX 35
anjing dryhit  - T 27, IT 4, TH 4, RC 15, SEX 5
nama kek aku tuh ga pasaran 😋 - T 1, IT 24, TH 0, RC 0, SEX 0
no debat - T 0, IT 0, TH 0, RC 0, SEX 1
lah sok tau - T 0, IT 0, TH 0, RC 0, SEX 2
no debat - T 0, IT 0, TH 0, RC 0, SEX 1
no bacot - T 2, IT 2, TH 0, RC 0, SEX 0
aku cah kerjo - T 5, IT 2, TH 0, RC 2, SEX 5
no kecot - T 0, IT 0, TH 0, RC 0, SEX 2
nama pikri disini jadi kang tambal ban - T 38, IT 0, TH 0, RC 14, SEX 38
kecot af bg - T 30, IT 14, TH 0, RC 12, SEX 35
parah - T 50, IT 6, TH 0, RC 13, SEX 11
halo - T 30, IT 14, TH 0, RC 12, SEX 35
parah - T 50, IT 6, TH 0, RC 13, SEX 11
pikri kenalan aku wibu - T 5, IT 2, TH 0, RC 2, SEX 5
kencot kah - T 10, IT 2, TH 0, RC 2, SEX 24
vetul tuh - T 10, IT 3, TH 0, RC 7, SEX 7
di sini pun sama - T 0, IT 0, TH 1, RC 0, SEX 0
pikri disini tukang ngocox - T 29, IT 2, TH 0, RC 5, SEX 72
kato diewe sampe lemes - T 15, IT 7, TH 0, RC 7, SEX 10
true - T 30, IT 14, TH 0, RC 12, SEX 35
pikri pasaran - T 30, IT 14, TH 0, RC 12, SEX 35
hayu lah gass,adu drag #doaibu201m - T 11, IT 4, TH 0, RC 7, SEX 14
di publik masih aja nonton anime - T 0, IT 1, TH 0, RC 1, SEX 0
anjinggggggfffffff - T 30, IT 14, TH 0, RC 12, SEX 35
bener - T 1, IT 1, TH 0, RC 2, SEX 1
gweh - T 30, IT 14, TH 0, RC 12, SEX 35
anjim - T 30, IT 14, TH 0, RC 12, SEX 35
mang kneaf a? - T 30, IT 14, TH 0, RC 12, SEX 35
masalah kah? - T 2, IT 2, TH 0, RC 2, SEX 0
dada aku sakit anjing - T 0, IT 0, TH 0, RC 1, SEX 0
knife - T 30, IT 14, TH 0, RC 12, SEX 35
nge:vul - T 30, IT 14, TH 0, RC 12, SEX 35
?afk - T 30, IT 14, TH 0, RC 12, SEX 35
 i set your afk: afk - T 27, IT 4, TH 4, RC 15, SEX 5
ngentot pake sabun jancuk kontol jembut - T 100, IT 11, TH 1, RC 2, SEX 100
kato lonet - T 15, IT 7, TH 0, RC 7, SEX 10
chrono - T 30, IT 14, TH 0, RC 12, SEX 35
knp kamu - T 33, IT 40, TH 32, RC 33, SEX 0
selacur lacurnya pelacur, masih lacuran kato lonte - T 25, IT 12, TH 0, RC 11, SEX 18
apaan tuh - T 10, IT 3, TH 0, RC 2, SEX 50
dry hit - T 30, IT 14, TH 0, RC 12, SEX 35
apakah kamu pelacur - T 44, IT 42, TH 39, RC 30, SEX 0
bermangsud tag ane - T 30, IT 14, TH 0, RC 12, SEX 35
njir keselek - T 0, IT 0, TH 0, RC 1, SEX 1
enaknya malakin liquid - T 30, IT 14, TH 0, RC 12, SEX 35
 lah iya - T 5, IT 0, TH 10, RC 4, SEX 0
halo farry  - T 27, IT 4, TH 4, RC 15, SEX 5
cek aja connections aneada nama ane - T 0, IT 5, TH 0, RC 4, SEX 0
just san. is afk: afk - 7 minutes ago - T 40, IT 14, TH 0, RC 12, SEX 25
nama aku : memeksi - T 1, IT 0, TH 0, RC 0, SEX 3
before - T 30, IT 14, TH 0, RC 12, SEX 35
after - T 30, IT 14, TH 0, RC 12, SEX 35
usaha tak pernah khianati hasil 🔥 - T 34, IT 14, TH 0, RC 1, SEX 27
mantap - T 14, IT 8, TH 0, RC 5, SEX 10
